Nr.	Clones 	species	Coexisting before?
1	7.5	m	n
2	7.7	m	n
3	9.5	m	y
4	10.3	p	y
5	10.6	m	y
6	14.4	m	n
7	14.5	m	n
8	15.1	p	y
9	15.3	p	y
10	15.6	p	y
11	15.8	p	y
12	18.1	p	n
13	18.8	p	n
14	18.9	p	n
15	19.1	p	n
16	19.5	p	n
17	19.7	p	n
18	19.9	p	n
19	20.1	m	y
20	25.1	p	y
21	25.11	p	y
22	25.12	p	y
23	25.14	p	y
24	25.2	p	y
25	25.3	p	y
26	25.4	p	y
27	25.5	p	y
28	25.7	p	y
29	26.1	p	n
30	26.7	p	n
31	26.8	p	n
32	27.3	p	n
33	27.6	p	n
34	27.9	p	n
35	30.5	m	y
